ecg,R
-183.0,0
-186.0,0
-186.0,0
-181.0,0
-181.0,0
-174.0,0
-161.0,0
-154.0,0
-154.0,0
-152.0,0
-143.0,0
-131.0,0
-129.0,0
-131.0,0
-127.0,0
-122.0,0
-120.0,0
-118.0,0
-118.0,0
-113.0,0
-106.0,0
-106.0,0
-111.0,0
-106.0,0
-99.0,0
-97.0,0
-99.0,0
-102.0,0
-99.0,0
-95.0,0
-88.0,0
-88.0,0
-88.0,0
-84.0,0
-81.0,0
-84.0,0
-88.0,0
-86.0,0
-81.0,0
-81.0,0
-88.0,0
-86.0,0
-79.0,0
-79.0,0
-81.0,0
-81.0,0
-81.0,0
-77.0,0
-74.0,0
-81.0,0
-90.0,0
-86.0,0
-77.0,0
-74.0,0
-74.0,0
-72.0,0
-68.0,0
-70.0,0
-74.0,0
-74.0,0
-68.0,0
-65.0,0
-68.0,0
-70.0,0
-72.0,0
-68.0,0
-65.0,0
-70.0,0
-84.0,0
-81.0,0
-70.0,0
-65.0,0
-74.0,0
-79.0,0
-70.0,0
-68.0,0
-74.0,0
-68.0,0
-49.0,0
-36.0,0
-27.0,0
-20.0,0
-11.0,0
-6.0,0
-15.0,0
-31.0,0
-45.0,0
-47.0,0
-40.0,0
-40.0,0
-47.0,0
-49.0,0
-49.0,0
-54.0,0
-59.0,0
-61.0,0
-59.0,0
-56.0,0
-54.0,0
-59.0,0
-77.0,0
-165.0,0
-354.0,0
-415.0,0
-81.0,0
746.0,0
1982.0,0
2651.0,1
1702.0,0
188.0,0
-281.0,0
-174.0,0
-322.0,0
-422.0,0
-342.0,0
-340.0,0
-365.0,0
-320.0,0
-288.0,0
-279.0,0
-254.0,0
-231.0,0
-220.0,0
-211.0,0
-199.0,0
-183.0,0
-172.0,0
-168.0,0
-154.0,0
-143.0,0
-138.0,0
-127.0,0
-115.0,0
-106.0,0
-90.0,0
-79.0,0
-79.0,0
-63.0,0
-11.0,0
34.0,0
59.0,0
90.0,0
127.0,0
154.0,0
177.0,0
188.0,0
174.0,0
131.0,0
68.0,0
-4.0,0
-65.0,0
-111.0,0
-145.0,0
-170.0,0
-186.0,0
-188.0,0
-183.0,0
-177.0,0
-172.0,0
-170.0,0
-165.0,0
-156.0,0
-149.0,0
-147.0,0
-143.0,0
-136.0,0
-133.0,0
-131.0,0
-129.0,0
-127.0,0
-122.0,0
-120.0,0
-122.0,0
-118.0,0
-113.0,0
-108.0,0
-106.0,0
-108.0,0
-106.0,0
-99.0,0
-102.0,0
-108.0,0
-102.0,0
-90.0,0
-88.0,0
-88.0,0
-84.0,0
-81.0,0
-79.0,0
-79.0,0
-81.0,0
-81.0,0
-77.0,0
-74.0,0
-77.0,0
-77.0,0
-79.0,0
-77.0,0
-74.0,0
-74.0,0
-77.0,0
-77.0,0
-74.0,0
-74.0,0
-74.0,0
-74.0,0
-72.0,0
-74.0,0
-84.0,0
-99.0,0
-99.0,0
-77.0,0
-68.0,0
-74.0,0
-74.0,0
-70.0,0
-74.0,0
-74.0,0
-68.0,0
-54.0,0
-40.0,0
-29.0,0
-22.0,0
-15.0,0
-18.0,0
-31.0,0
-43.0,0
-54.0,0
-56.0,0
-47.0,0
-47.0,0
-59.0,0
-65.0,0
-63.0,0
-63.0,0
-65.0,0
-68.0,0
-68.0,0
-68.0,0
-65.0,0
-70.0,0
-115.0,0
-272.0,0
-435.0,0
-301.0,0
299.0,0
1444.0,0
2636.0,1
2508.0,0
976.0,0
-145.0,0
-238.0,0
-263.0,0
-429.0,0
-413.0,0
-363.0,0
-383.0,0
-363.0,0
-322.0,0
-313.0,0
-299.0,0
-272.0,0
-256.0,0
-245.0,0
-229.0,0
-215.0,0
-202.0,0
-195.0,0
-190.0,0
-179.0,0
-165.0,0
-156.0,0
-152.0,0
-143.0,0
-131.0,0
-115.0,0
-99.0,0
-79.0,0
-52.0,0
-18.0,0
15.0,0
43.0,0
63.0,0
95.0,0
138.0,0
163.0,0
154.0,0
122.0,0
68.0,0
2.0,0
-61.0,0
-111.0,0
-149.0,0
-172.0,0
-183.0,0
-190.0,0
-190.0,0
-183.0,0
-179.0,0
-174.0,0
-165.0,0
-158.0,0
-152.0,0
-149.0,0
-147.0,0
-143.0,0
-136.0,0
-131.0,0
-131.0,0
-131.0,0
-127.0,0
-124.0,0
-129.0,0
-127.0,0
-115.0,0
-108.0,0
-108.0,0
-104.0,0
-102.0,0
-99.0,0
-93.0,0
-90.0,0
-93.0,0
-90.0,0
-86.0,0
-81.0,0
-81.0,0
-84.0,0
-84.0,0
-79.0,0
-74.0,0
-79.0,0
-79.0,0
-77.0,0
-77.0,0
-77.0,0
-77.0,0
-77.0,0
-74.0,0
-74.0,0
-79.0,0
-79.0,0
-74.0,0
-72.0,0
-74.0,0
-77.0,0
-77.0,0
-74.0,0
-72.0,0
-72.0,0
-74.0,0
-74.0,0
-72.0,0
-72.0,0
-84.0,0
-99.0,0
-90.0,0
-70.0,0
-68.0,0
-70.0,0
-63.0,0
-59.0,0
-63.0,0
-70.0,0
-74.0,0
-68.0,0
-56.0,0
-43.0,0
-34.0,0
-29.0,0
-18.0,0
-11.0,0
-22.0,0
-36.0,0
-45.0,0
-52.0,0
-54.0,0
-52.0,0
-61.0,0
-65.0,0
-59.0,0
-61.0,0
-68.0,0
-65.0,0
-59.0,0
-61.0,0
-63.0,0
-65.0,0
-65.0,0
-74.0,0
-161.0,0
-354.0,0
-426.0,0
-99.0,0
737.0,0
2032.0,0
2838.0,1
1991.0,0
397.0,0
-252.0,0
-224.0,0
-354.0,0
-449.0,0
-383.0,0
-376.0,0
-395.0,0
-354.0,0
-320.0,0
-313.0,0
-295.0,0
-272.0,0
-256.0,0
-245.0,0
-231.0,0
-217.0,0
-206.0,0
-195.0,0
-188.0,0
-183.0,0
-174.0,0
-158.0,0
-149.0,0
-145.0,0
-138.0,0
-124.0,0
-102.0,0
-79.0,0
-65.0,0
-45.0,0
2.0,0
52.0,0
81.0,0
113.0,0
147.0,0
165.0,0
158.0,0
122.0,0
61.0,0
-2.0,0
-59.0,0
-111.0,0
-149.0,0
-174.0,0
-190.0,0
-197.0,0
-192.0,0
-179.0,0
-172.0,0
-165.0,0
-156.0,0
-152.0,0
-145.0,0
-138.0,0
-136.0,0
-133.0,0
-129.0,0
-122.0,0
-115.0,0
-115.0,0
-118.0,0
-118.0,0
-111.0,0
-106.0,0
-108.0,0
-108.0,0
-104.0,0
-102.0,0
-99.0,0
-99.0,0
-99.0,0
-95.0,0
-90.0,0
-90.0,0
-90.0,0
-86.0,0
-84.0,0
-84.0,0
-84.0,0
-86.0,0
-84.0,0
-79.0,0
-81.0,0
-86.0,0
-86.0,0
-81.0,0
-77.0,0
-79.0,0
-84.0,0
-79.0,0
-79.0,0
-81.0,0
-81.0,0
-77.0,0
-74.0,0
-77.0,0
-79.0,0
-81.0,0
-79.0,0
-74.0,0
-74.0,0
-77.0,0
-79.0,0
-77.0,0
-74.0,0
-84.0,0
-104.0,0
-99.0,0
-74.0,0
-77.0,0
-93.0,0
-90.0,0
-77.0,0
-68.0,0
-59.0,0
-43.0,0
-31.0,0
-22.0,0
-11.0,0
-15.0,0
-34.0,0
-40.0,0
-45.0,0
-49.0,0
-49.0,0
-49.0,0
-52.0,0
-56.0,0
-59.0,0
-63.0,0
-63.0,0
-61.0,0
-61.0,0
-63.0,0
-63.0,0
-63.0,0
-70.0,0
-136.0,0
-315.0,0
-440.0,0
-204.0,0
497.0,0
1675.0,0
2656.0,1
2150.0,0
572.0,0
-249.0,0
-202.0,0
-279.0,0
-424.0,0
-370.0,0
-342.0,0
-370.0,0
-333.0,0
-292.0,0
-288.0,0
-274.0,0
-254.0,0
-238.0,0
-227.0,0
-213.0,0
-199.0,0
-188.0,0
-181.0,0
-174.0,0
-163.0,0
-152.0,0
-140.0,0
-131.0,0
-122.0,0
-111.0,0
-93.0,0
-79.0,0
-56.0,0
-29.0,0
-4.0,0
27.0,0
68.0,0
97.0,0
118.0,0
143.0,0
165.0,0
163.0,0
127.0,0
65.0,0
0.0,0
-59.0,0
-111.0,0
-152.0,0
-170.0,0
-179.0,0
-186.0,0
-188.0,0
-183.0,0
-174.0,0
-163.0,0
-154.0,0
-149.0,0
-147.0,0
-145.0,0
-140.0,0
-133.0,0
-129.0,0
-122.0,0
-120.0,0
-120.0,0
-120.0,0
-115.0,0
-108.0,0
-108.0,0
-106.0,0
-104.0,0
-97.0,0
-93.0,0
-99.0,0
-99.0,0
-95.0,0
-95.0,0
-88.0,0
-84.0,0
-86.0,0
-86.0,0
-81.0,0
-81.0,0
-84.0,0
-79.0,0
-74.0,0
-74.0,0
-81.0,0
-84.0,0
-79.0,0
-74.0,0
-74.0,0
-77.0,0
-79.0,0
-77.0,0
-74.0,0
-74.0,0
-77.0,0
-77.0,0
-77.0,0
-84.0,0
-90.0,0
-86.0,0
-74.0,0
-72.0,0
-84.0,0
-99.0,0
-95.0,0
-70.0,0
-65.0,0
-72.0,0
-74.0,0
-74.0,0
-74.0,0
-68.0,0
-52.0,0
-38.0,0
-31.0,0
-27.0,0
-15.0,0
-15.0,0
-29.0,0
-40.0,0
-49.0,0
-59.0,0
-52.0,0
-49.0,0
-54.0,0
-59.0,0
-65.0,0
-68.0,0
-65.0,0
-63.0,0
-68.0,0
-68.0,0
-68.0,0
-70.0,0
-97.0,0
-229.0,0
-417.0,0
-372.0,0
113.0,0
1103.0,0
2340.0,0
2611.0,1
1298.0,0
-36.0,0
-256.0,0
-213.0,0
-395.0,0
-420.0,0
-351.0,0
-370.0,0
-367.0,0
-322.0,0
-306.0,0
-299.0,0
-272.0,0
-249.0,0
-242.0,0
-233.0,0
-217.0,0
-204.0,0
-190.0,0
-183.0,0
-181.0,0
-181.0,0
-172.0,0
-152.0,0
-140.0,0
-133.0,0
-120.0,0
-102.0,0
-84.0,0
-59.0,0
-24.0,0
9.0,0
40.0,0
65.0,0
90.0,0
124.0,0
154.0,0
158.0,0
127.0,0
70.0,0
11.0,0
-40.0,0
-97.0,0
-140.0,0
-165.0,0
-181.0,0
-188.0,0
-188.0,0
-183.0,0
-177.0,0
-168.0,0
-165.0,0
-161.0,0
-152.0,0
-145.0,0
-140.0,0
-140.0,0
-138.0,0
-131.0,0
-127.0,0
-127.0,0
-124.0,0
-122.0,0
-120.0,0
-115.0,0
-113.0,0
-111.0,0
-106.0,0
-104.0,0
-106.0,0
-104.0,0
-99.0,0
-95.0,0
-93.0,0
-93.0,0
-93.0,0
-88.0,0
-84.0,0
-84.0,0
-86.0,0
-86.0,0
-84.0,0
-81.0,0
-81.0,0
-81.0,0
-81.0,0
-84.0,0
-93.0,0
-95.0,0
-84.0,0
-77.0,0
-77.0,0
-79.0,0
-79.0,0
-77.0,0
-72.0,0
-72.0,0
-74.0,0
-74.0,0
-74.0,0
-72.0,0
-70.0,0
-72.0,0
-70.0,0
-68.0,0
-72.0,0
-86.0,0
-99.0,0
-88.0,0
-74.0,0
-81.0,0
-84.0,0
-68.0,0
-49.0,0
-38.0,0
-29.0,0
-22.0,0
-18.0,0
-20.0,0
-34.0,0
-43.0,0
-52.0,0
-54.0,0
-52.0,0
-54.0,0
-59.0,0
-59.0,0
-61.0,0
-65.0,0
-70.0,0
-68.0,0
-63.0,0
-63.0,0
-65.0,0
-74.0,0
-122.0,0
-281.0,0
-440.0,0
-288.0,0
338.0,0
1500.0,0
2674.0,1
2493.0,0
942.0,0
-161.0,0
-242.0,0
-277.0,0
-442.0,0
-420.0,0
-363.0,0
-383.0,0
-370.0,0
-336.0,0
-333.0,0
-308.0,0
-272.0,0
-263.0,0
-252.0,0
-231.0,0
-217.0,0
-211.0,0
-199.0,0
-188.0,0
-177.0,0
-170.0,0
-165.0,0
-156.0,0
-143.0,0
-131.0,0
-120.0,0
-106.0,0
-86.0,0
-54.0,0
-22.0,0
9.0,0
40.0,0
74.0,0
106.0,0
133.0,0
145.0,0
136.0,0
111.0,0
65.0,0
0.0,0
-61.0,0
-108.0,0
-145.0,0
-170.0,0
-188.0,0
-195.0,0
-190.0,0
-181.0,0
-177.0,0
-172.0,0
-165.0,0
-158.0,0
-152.0,0
-145.0,0
-140.0,0
-136.0,0
-133.0,0
-133.0,0
-131.0,0
-124.0,0
-122.0,0
-120.0,0
-122.0,0
-122.0,0
-118.0,0
-111.0,0
-111.0,0
-111.0,0
-108.0,0
-106.0,0
-102.0,0
-99.0,0
-99.0,0
-99.0,0
-104.0,0
-104.0,0
-93.0,0
-90.0,0
-88.0,0
-84.0,0
-84.0,0
-88.0,0
-84.0,0
-77.0,0
-79.0,0
-81.0,0
-81.0,0
-81.0,0
-77.0,0
-77.0,0
-81.0,0
-79.0,0
-77.0,0
-77.0,0
-77.0,0
-77.0,0
-77.0,0
-74.0,0
-77.0,0
-79.0,0
-74.0,0
-72.0,0
-74.0,0
-77.0,0
-74.0,0
-72.0,0
-70.0,0
-72.0,0
-74.0,0
-74.0,0
-79.0,0
-88.0,0
-99.0,0
-111.0,0
-90.0,0
-54.0,0
-38.0,0
-40.0,0
-29.0,0
-18.0,0
-29.0,0
-45.0,0
-52.0,0
-56.0,0
-54.0,0
-52.0,0
-54.0,0
-56.0,0
-59.0,0
-63.0,0
-65.0,0
-65.0,0
-65.0,0
-63.0,0
-63.0,0
-68.0,0
-68.0,0
-72.0,0
-152.0,0
-345.0,0
-438.0,0
-131.0,0
674.0,0
1909.0,0
2715.0,1
1927.0,0
361.0,0
-256.0,0
-190.0,0
-324.0,0
-429.0,0
-351.0,0
-347.0,0
-374.0,0
-331.0,0
-292.0,0
-290.0,0
-270.0,0
-249.0,0
-240.0,0
-224.0,0
-204.0,0
-192.0,0
-186.0,0
-179.0,0
-172.0,0
-158.0,0
-149.0,0
-140.0,0
-129.0,0
-120.0,0
-113.0,0
-95.0,0
-72.0,0
-49.0,0
-22.0,0
6.0,0
36.0,0
70.0,0
106.0,0
133.0,0
154.0,0
165.0,0
154.0,0
113.0,0
40.0,0
-38.0,0
-90.0,0
-122.0,0
-158.0,0
-183.0,0
-190.0,0
-195.0,0
-188.0,0
-181.0,0
-179.0,0
-168.0,0
-158.0,0
-154.0,0
-147.0,0
-140.0,0
-136.0,0
-129.0,0
-127.0,0
-129.0,0
-131.0,0
-127.0,0
-115.0,0
-111.0,0
-106.0,0
-99.0,0
-99.0,0
-102.0,0
-97.0,0
-93.0,0
-90.0,0
-93.0,0
-90.0,0
-84.0,0
-81.0,0
-79.0,0
-77.0,0
-77.0,0
-77.0,0
-72.0,0
-72.0,0
-74.0,0
-74.0,0
-70.0,0
-65.0,0
-70.0,0
-74.0,0
-72.0,0
-65.0,0
-68.0,0
-70.0,0
-70.0,0
-70.0,0
-68.0,0
-65.0,0
-70.0,0
-72.0,0
-68.0,0
-65.0,0
-68.0,0
-70.0,0
-68.0,0
-68.0,0
-68.0,0
-72.0,0
-77.0,0
-77.0,0
-77.0,0
-74.0,0
-63.0,0
-52.0,0
-43.0,0
-38.0,0
-43.0,0
-56.0,0
-52.0,0
-52.0,0
-65.0,0
-68.0,0
-56.0,0
-54.0,0
-61.0,0
-65.0,0
-65.0,0
-65.0,0
-72.0,0
-77.0,0
-70.0,0
-65.0,0
-65.0,0
-61.0,0
-74.0,0
-161.0,0
-351.0,0
-431.0,0
-111.0,0
697.0,0
1941.0,0
2724.0,1
1891.0,0
324.0,0
-263.0,0
-181.0,0
-315.0,0
-429.0,0
-361.0,0
-349.0,0
-363.0,0
-322.0,0
-297.0,0
-295.0,0
-272.0,0
-247.0,0
-236.0,0
-224.0,0
-208.0,0
-195.0,0
-186.0,0
-181.0,0
-172.0,0
-161.0,0
-149.0,0
-143.0,0
-138.0,0
-131.0,0
-115.0,0
-99.0,0
-84.0,0
-63.0,0
-34.0,0
0.0,0
34.0,0
65.0,0
95.0,0
127.0,0
152.0,0
158.0,0
140.0,0
95.0,0
31.0,0
-34.0,0
-93.0,0
-140.0,0
-168.0,0
-186.0,0
-204.0,0
-229.0,0
-233.0,0
-202.0,0
-179.0,0
-179.0,0
-179.0,0
-168.0,0
-154.0,0
-149.0,0
-147.0,0
-138.0,0
-129.0,0
-127.0,0
-124.0,0
-124.0,0
-120.0,0
-113.0,0
-111.0,0
-111.0,0
-108.0,0
-104.0,0
-99.0,0
-97.0,0
-95.0,0
-93.0,0
-88.0,0
-88.0,0
-88.0,0
-84.0,0
-79.0,0
-77.0,0
-79.0,0
-81.0,0
-77.0,0
-74.0,0
-74.0,0
-77.0,0
-79.0,0
-77.0,0
-74.0,0
-74.0,0
-74.0,0
-74.0,0
-74.0,0
-74.0,0
-74.0,0
-74.0,0
-72.0,0
-72.0,0
-74.0,0
-77.0,0
-74.0,0
-72.0,0
-72.0,0
-72.0,0
-74.0,0
-74.0,0
-70.0,0
-70.0,0
-72.0,0
-72.0,0
-70.0,0
-72.0,0
-79.0,0
-84.0,0
-84.0,0
-74.0,0
-65.0,0
-63.0,0
-59.0,0
-43.0,0
-31.0,0
-40.0,0
-61.0,0
-65.0,0
-59.0,0
-54.0,0
-52.0,0
-52.0,0
-54.0,0
-54.0,0
-56.0,0
-59.0,0
-59.0,0
-56.0,0
-54.0,0
-56.0,0
-59.0,0
-54.0,0
-63.0,0
-149.0,0
-342.0,0
-429.0,0
-122.0,0
681.0,0
1959.0,0
2840.0,1
2079.0,0
456.0,0
-252.0,0
-211.0,0
-326.0,0
-442.0,0
-381.0,0
-365.0,0
-385.0,0
-345.0,0
-308.0,0
-304.0,0
-290.0,0
-267.0,0
-249.0,0
-233.0,0
-220.0,0
-211.0,0
-202.0,0
-190.0,0
-181.0,0
-174.0,0
-168.0,0
-156.0,0
-145.0,0
-140.0,0
-129.0,0
-113.0,0
-95.0,0
-72.0,0
-47.0,0
-15.0,0
22.0,0
56.0,0
86.0,0
115.0,0
143.0,0
156.0,0
147.0,0
104.0,0
38.0,0
-22.0,0
-77.0,0
-133.0,0
-188.0,0
-217.0,0
-206.0,0
-195.0,0
-199.0,0
-195.0,0
-179.0,0
-168.0,0
-161.0,0
-156.0,0
-152.0,0
-145.0,0
-138.0,0
-136.0,0
-136.0,0
-129.0,0
-122.0,0
-122.0,0
-124.0,0
-122.0,0
-113.0,0
-111.0,0
-115.0,0
-118.0,0
-108.0,0
-102.0,0
-102.0,0
-102.0,0
-99.0,0
-97.0,0
-93.0,0
-88.0,0
-88.0,0
-88.0,0
-84.0,0
-86.0,0
-88.0,0
-88.0,0
-81.0,0
-79.0,0
-81.0,0
-84.0,0
-79.0,0
-77.0,0
-77.0,0
-79.0,0
-81.0,0
-81.0,0
-77.0,0
-74.0,0
-77.0,0
-77.0,0
-77.0,0
-77.0,0
-77.0,0
-77.0,0
-74.0,0
-72.0,0
-74.0,0
-77.0,0
-77.0,0
-74.0,0
-81.0,0
-81.0,0
-72.0,0
-70.0,0
-72.0,0
-72.0,0
-79.0,0
-81.0,0
-74.0,0
-61.0,0
-47.0,0
-36.0,0
-31.0,0
-22.0,0
-20.0,0
-49.0,0
-77.0,0
-74.0,0
-54.0,0
-52.0,0
-59.0,0
-59.0,0
-54.0,0
-56.0,0
-59.0,0
-59.0,0
-56.0,0
-56.0,0
-54.0,0
-52.0,0
-54.0,0
-54.0,0
-74.0,0
-188.0,0
-381.0,0
-397.0,0
0.0,0
887.0,0
2134.0,0
2654.0,1
1518.0,0
63.0,0
-265.0,0
-170.0,0
-342.0,0
-406.0,0
-322.0,0
-329.0,0
-338.0,0
-292.0,0
-277.0,0
-272.0,0
-249.0,0
-231.0,0
-215.0,0
-199.0,0
-190.0,0
-188.0,0
-174.0,0
-158.0,0
-152.0,0
-143.0,0
-131.0,0
-124.0,0
-118.0,0
-113.0,0
-97.0,0
-70.0,0
-47.0,0
-27.0,0
4.0,0
38.0,0
72.0,0
106.0,0
131.0,0
149.0,0
172.0,0
186.0,0
163.0,0
106.0,0
38.0,0
-29.0,0
-86.0,0
-129.0,0
-163.0,0
-186.0,0
-195.0,0
-197.0,0
-192.0,0
-186.0,0
-177.0,0
-170.0,0
-179.0,0
-195.0,0
-186.0,0
-152.0,0
-140.0,0
-143.0,0
-136.0,0
-124.0,0
-118.0,0
-115.0,0
-113.0,0
-111.0,0
-106.0,0
-104.0,0
-102.0,0
-97.0,0
-93.0,0
-90.0,0
-88.0,0
-88.0,0
-86.0,0
-79.0,0
-77.0,0
-79.0,0
-77.0,0
-74.0,0
-72.0,0
-70.0,0
-72.0,0
-72.0,0
-72.0,0
-72.0,0
-72.0,0
-74.0,0
-72.0,0
-70.0,0
-72.0,0
-77.0,0
-79.0,0
-81.0,0
-81.0,0
-72.0,0
-72.0,0
-74.0,0
-68.0,0
-68.0,0
-70.0,0
-68.0,0
-63.0,0
-65.0,0
-68.0,0
-65.0,0
-63.0,0
-65.0,0
-72.0,0
-79.0,0
-77.0,0
-65.0,0
-52.0,0
-40.0,0
-36.0,0
-29.0,0
-20.0,0
-27.0,0
-40.0,0
-52.0,0
-61.0,0
-63.0,0
-61.0,0
-79.0,0
-93.0,0
-77.0,0
-65.0,0
-72.0,0
-72.0,0
-63.0,0
-61.0,0
-63.0,0
-63.0,0
-65.0,0
-93.0,0
-224.0,0
-410.0,0
-345.0,0
170.0,0
1203.0,0
2452.0,0
2651.0,1
1271.0,0
-43.0,0
-240.0,0
-217.0,0
-404.0,0
-417.0,0
-342.0,0
-363.0,0
-367.0,0
-324.0,0
-301.0,0
-288.0,0
-267.0,0
-252.0,0
-240.0,0
-224.0,0
-217.0,0
-215.0,0
-199.0,0
-179.0,0
-172.0,0
-168.0,0
-156.0,0
-143.0,0
-133.0,0
-120.0,0
-111.0,0
-97.0,0
-74.0,0
-47.0,0
-15.0,0
15.0,0
47.0,0
81.0,0
113.0,0
140.0,0
158.0,0
161.0,0
133.0,0
77.0,0
9.0,0
-52.0,0
-102.0,0
-143.0,0
-174.0,0
-192.0,0
-195.0,0
-190.0,0
-188.0,0
-186.0,0
-181.0,0
-174.0,0
-165.0,0
-168.0,0
-183.0,0
-181.0,0
-152.0,0
-140.0,0
-143.0,0
-133.0,0
-124.0,0
-120.0,0
-120.0,0
-118.0,0
-113.0,0
-108.0,0
-104.0,0
-104.0,0
-104.0,0
-99.0,0
-95.0,0
-93.0,0
-93.0,0
-90.0,0
-86.0,0
-84.0,0
-84.0,0
-81.0,0
-79.0,0
-77.0,0
-77.0,0
-81.0,0
-86.0,0
-84.0,0
-74.0,0
-74.0,0
-77.0,0
-77.0,0
-72.0,0
-70.0,0
-72.0,0
-72.0,0
-70.0,0
-70.0,0
-70.0,0
-70.0,0
-68.0,0
-65.0,0
-68.0,0
-70.0,0
-70.0,0
-65.0,0
-65.0,0
-65.0,0
-68.0,0
-68.0,0
-65.0,0
-63.0,0
-63.0,0
-65.0,0
-65.0,0
-65.0,0
-65.0,0
-65.0,0
-65.0,0
-65.0,0
-72.0,0
-81.0,0
-79.0,0
-68.0,0
-54.0,0
-43.0,0
-38.0,0
-31.0,0
-22.0,0
-27.0,0
-47.0,0
-74.0,0
-84.0,0
-65.0,0
-54.0,0
-59.0,0
-59.0,0
-56.0,0
-59.0,0
-63.0,0
-63.0,0
-61.0,0
-59.0,0
-59.0,0
-61.0,0
-63.0,0
-63.0,0
-106.0,0
-265.0,0
-431.0,0
-290.0,0
326.0,0
1489.0,0
2695.0,1
2556.0,0
1014.0,0
-113.0,0
-231.0,0
-279.0,0
-433.0,0
-408.0,0
-363.0,0
-388.0,0
-370.0,0
-324.0,0
-308.0,0
-297.0,0
-274.0,0
-258.0,0
-245.0,0
-227.0,0
-215.0,0
-208.0,0
-195.0,0
-183.0,0
-179.0,0
-172.0,0
-163.0,0
-152.0,0
-143.0,0
-136.0,0
-129.0,0
-111.0,0
-86.0,0
-61.0,0
-34.0,0
-2.0,0
31.0,0
65.0,0
97.0,0
124.0,0
147.0,0
156.0,0
133.0,0
84.0,0
20.0,0
-40.0,0
-93.0,0
-145.0,0
-197.0,0
-217.0,0
-199.0,0
-186.0,0
-190.0,0
-186.0,0
-172.0,0
-161.0,0
-154.0,0
-149.0,0
-145.0,0
-140.0,0
-136.0,0
-131.0,0
-129.0,0
-124.0,0
-120.0,0
-122.0,0
-129.0,0
-127.0,0
-113.0,0
-108.0,0
-111.0,0
-108.0,0
-104.0,0
-99.0,0
-97.0,0
-97.0,0
-95.0,0
-90.0,0
-88.0,0
-88.0,0
-84.0,0
-81.0,0
-79.0,0
-79.0,0
-81.0,0
-79.0,0
-74.0,0
-74.0,0
-79.0,0
-81.0,0
-81.0,0
-74.0,0
-72.0,0
-74.0,0
-74.0,0
-74.0,0
-72.0,0
-77.0,0
-77.0,0
-74.0,0
-72.0,0
-72.0,0
-74.0,0
-74.0,0
-72.0,0
-70.0,0
-70.0,0
-72.0,0
-72.0,0
-70.0,0
-70.0,0
-72.0,0
-70.0,0
-68.0,0
-68.0,0
-70.0,0
-70.0,0
-68.0,0
-70.0,0
-79.0,0
-84.0,0
-81.0,0
-70.0,0
-59.0,0
-47.0,0
-40.0,0
-36.0,0
-24.0,0
-34.0,0
-56.0,0
-79.0,0
-93.0,0
-79.0,0
-61.0,0
-61.0,0
-63.0,0
-59.0,0
-56.0,0
-63.0,0
-61.0,0
-56.0,0
-56.0,0
-59.0,0
-59.0,0
-61.0,0
-63.0,0
-115.0,0
-288.0,0
-431.0,0
-227.0,0
447.0,0
1609.0,0
2647.0,1
2245.0,0
676.0,0
-213.0,0
-192.0,0
-270.0,0
-424.0,0
-367.0,0
-329.0,0
-358.0,0
-331.0,0
-292.0,0
-283.0,0
-270.0,0
-247.0,0
-233.0,0
-222.0,0
-204.0,0
-195.0,0
-188.0,0
-174.0,0
-163.0,0
-161.0,0
-152.0,0
-138.0,0
-129.0,0
-120.0,0
-111.0,0
-97.0,0
-74.0,0
-52.0,0
-29.0,0
0.0,0
31.0,0
65.0,0
99.0,0
127.0,0
149.0,0
168.0,0
168.0,0
131.0,0
72.0,0
4.0,0
-59.0,0
-104.0,0
-149.0,0
-190.0,0
-199.0,0
-190.0,0
-192.0,0
-202.0,0
-215.0,0
-202.0,0
-172.0,0
-156.0,0
-154.0,0
-140.0,0
-133.0,0
-131.0,0
-124.0,0
-120.0,0
-118.0,0
-108.0,0
-102.0,0
-106.0,0
-108.0,0
-99.0,0
-93.0,0
-93.0,0
-95.0,0
-90.0,0
-84.0,0
-81.0,0
-86.0,0
-88.0,0
-81.0,0
-74.0,0
-74.0,0
-74.0,0
-72.0,0
-68.0,0
-70.0,0
-70.0,0
-70.0,0
-70.0,0
-68.0,0
-65.0,0
-68.0,0
-70.0,0
-68.0,0
-63.0,0
-68.0,0
-70.0,0
-70.0,0
-68.0,0
-65.0,0
-68.0,0
-65.0,0
-63.0,0
-63.0,0
-68.0,0
-68.0,0
-63.0,0
-61.0,0
-61.0,0
-63.0,0
-68.0,0
-63.0,0
-59.0,0
-63.0,0
-65.0,0
-68.0,0
-72.0,0
-77.0,0
-74.0,0
-74.0,0
-63.0,0
-47.0,0
-40.0,0
-54.0,0
-49.0,0
-20.0,0
-13.0,0
-36.0,0
-45.0,0
-45.0,0
-45.0,0
-43.0,0
-43.0,0
-49.0,0
-52.0,0
-49.0,0
-52.0,0
-56.0,0
-54.0,0
-54.0,0
-56.0,0
-56.0,0
-56.0,0
-86.0,0
-222.0,0
-413.0,0
-358.0,0
152.0,0
1176.0,0
2402.0,0
2588.0,1
1219.0,0
-68.0,0
-236.0,0
-202.0,0
-392.0,0
-406.0,0
-333.0,0
-356.0,0
-356.0,0
-311.0,0
-292.0,0
-281.0,0
-261.0,0
-247.0,0
-233.0,0
-213.0,0
-202.0,0
-195.0,0
-186.0,0
-177.0,0
-168.0,0
-158.0,0
-152.0,0
-145.0,0
-136.0,0
-124.0,0
-113.0,0
-99.0,0
-79.0,0
-56.0,0
-34.0,0
-4.0,0
